city,district,front,rooms,living_rooms,bath_rooms,street_width,level,age,kitchen,garage,elevator,area,dimension_1,dimension_2,price
جدة,حي الروابي,شمالية غربية,4,1,3,15,4,8,1,1,1,103,10,10,420000
الدمام,حي الفردوس,جنوبية,3,2,3,5,1,0,1,1,1,144,12,12,610000
الدمام,حي النور,جنوبية غربية,5,1,3,40,2,0,0,1,1,182,13,13,500000
الدمام,حي النور,شمالية غربية,5,1,3,30,1,0,1,0,0,197,14,14,580000
جدة,حي الصوارى,شمالية,5,1,4,20,2,0,1,1,1,179,13,13,680000
الدمام,حي الشعلة,شمالية غربية,3,2,4,20,2,0,1,1,1,230,15,15,780000
مكة المكرمة,حي الشوقية,شمالية غربية,5,3,3,24,2,0,1,1,1,194,13,13,720000
الدمام,حي النور,شمالية,3,1,3,32,2,0,1,0,1,175,13,13,490000
جدة,حي الواحة,جنوبية,3,1,3,16,2,0,1,1,1,100,10,10,360000
الدمام,حي النور,غربية,3,1,3,20,1,0,1,0,1,166,12,12,520000
الدمام,حي النور,جنوبية شرقية,5,1,3,50,1,0,1,1,1,180,13,13,490000
جدة,حي الصوارى,غربية,5,1,4,20,2,0,1,1,1,179,13,13,690000
الرياض,حي طويق,شرقية,7,2,5,30,1,0,1,0,1,280,16,16,745000
جدة,حي السلامة,جنوبية,4,1,2,20,3,8,1,1,1,105,10,10,499000
الطائف,حي القطبية,جنوبية شرقية,5,1,3,15,4,1,1,1,1,200,14,14,600000
مكة المكرمة,حي بطحاء قريش,شرقية,3,1,2,15,1,0,1,1,1,97,9,9,360000
جدة,حي الصفا,جنوبية غربية,4,1,3,15,3,9,1,1,1,112,10,10,751000
جدة,حي الواحة,غربية,4,1,3,25,2,0,1,1,1,140,11,11,550000
جدة,حي مريخ,شمالية غربية,4,1,3,21,2,0,1,1,1,135,11,11,420000
جدة,حي الواحة,جنوبية شرقية,5,1,4,5,2,0,1,1,1,161,12,12,530000
جدة,حي المروة,شمالية,4,1,3,16,4,0,1,0,1,135,11,11,440000
الدمام,حي النور,شمالية,4,1,3,23,1,3,1,0,1,190,13,13,450000
الرياض,حي طويق,شمالية,4,1,2,33,2,7,1,0,1,130,11,11,500000
الدمام,حي الشعلة,شرقية,4,1,3,12,3,0,1,0,1,173,13,13,600000
