city,district,front,rooms,living_rooms,bath_rooms,street_width,level,age,kitchen,garage,elevator,area,dimension_1,dimension_2,price
25,93,8,4,1,3,15,4,8,1,1,1,103,10,10,420000
9,169,2,3,2,3,5,1,0,1,1,1,144,12,12,610000
9,240,4,5,1,3,40,2,0,0,1,1,182,13,13,500000
9,240,8,5,1,3,30,1,0,1,0,0,197,14,14,580000
25,143,6,5,1,4,20,2,0,1,1,1,179,13,13,680000
9,128,8,3,2,4,20,2,0,1,1,1,230,15,15,780000
36,134,8,5,3,3,24,2,0,1,1,1,194,13,13,720000
9,240,6,3,1,3,32,2,0,1,0,1,175,13,13,490000
25,247,2,3,1,3,16,2,0,1,1,1,100,10,10,360000
9,240,9,3,1,3,20,1,0,1,0,1,166,12,12,520000
9,240,3,5,1,3,50,1,0,1,1,1,180,13,13,490000
25,143,9,5,1,4,20,2,0,1,1,1,179,13,13,690000
11,292,5,7,2,5,30,1,0,1,0,1,280,16,16,745000
25,112,2,4,1,2,20,3,8,1,1,1,105,10,10,499000
13,184,3,5,1,3,15,4,1,1,1,1,200,14,14,600000
36,266,5,3,1,2,15,1,0,1,1,1,97,9,9,360000
25,138,4,4,1,3,15,3,9,1,1,1,112,10,10,751000
25,247,9,4,1,3,25,2,0,1,1,1,140,11,11,550000
25,318,8,4,1,3,21,2,0,1,1,1,135,11,11,420000
25,247,3,5,1,4,5,2,0,1,1,1,161,12,12,530000
25,201,6,4,1,3,16,4,0,1,0,1,135,11,11,440000
9,240,6,4,1,3,23,1,3,1,0,1,190,13,13,450000
11,292,6,4,1,2,33,2,7,1,0,1,130,11,11,500000
9,128,5,4,1,3,12,3,0,1,0,1,173,13,13,600000
25,84,5,6,1,4,20,3,0,1,1,1,220,14,14,750000
9,240,9,3,2,3,20,2,0,1,1,1,170,13,13,560000
25,218,6,5,1,3,15,4,8,1,0,1,118,10,10,550000
25,318,6,5,1,4,30,5,0,1,1,1,210,14,14,670000
24,120,6,5,1,3,20,2,0,1,0,1,215,14,14,620000
25,318,5,6,2,4,15,2,0,1,1,1,235,15,15,750000
25,318,9,5,1,5,5,2,0,1,1,1,220,14,14,700000
25,318,6,5,1,3,25,2,0,1,1,1,160,12,12,540000
11,292,9,3,1,3,25,2,0,1,0,1,186,13,13,560000
